Ambient light color: Red=1 Green=1 Blue=1

Named object: "ARAK-AFT-L"
Tri-mesh, Vertices: 866     Faces: 1728
Vertex list:
Vertex 0:  X:-1.10261	Y:1.80099	Z:0.0408326
Vertex 61:  X:-1.13249	Y:1.76611	Z:0.185715
Vertex 62:  X:-1.14149	Y:1.76955	Z:0.185803
Vertex 63:  X:-1.14134	Y:1.77213	Z:0.134644
Vertex 64:  X:-1.13313	Y:1.76958	Z:0.135147
Vertex 65:  X:-1.10163	Y:1.78493	Z:0.0607997
Vertex 66:  X:-1.10408	Y:1.78665	Z:0.0380757
Vertex 67:  X:-1.09848	Y:1.78344	Z:0.0927431
Vertex 68:  X:-1.10996	Y:1.77791	Z:0.0921567
Vertex 69:  X:-1.11161	Y:1.78027	Z:0.059217
Vertex 70:  X:-1.11306	Y:1.7826	Z:0.0351451
Vertex 71:  X:-1.12222	Y:1.77933	Z:0.0384593
Vertex 72:  X:-1.12197	Y:1.77672	Z:0.0612299
Vertex 73:  X:-1.12204	Y:1.77393	Z:0.0932415
Vertex 74:  X:-1.12124	Y:1.77086	Z:0.135301
Vertex 75:  X:-1.11966	Y:1.76706	Z:0.185561
Vertex 76:  X:-1.10791	Y:1.77506	Z:0.135154
Vertex 77:  X:-1.10537	Y:1.7714	Z:0.185252
Vertex 78:  X:-1.09207	Y:1.77819	Z:0.184978
Vertex 79:  X:-1.0954	Y:1.78128	Z:0.134754
Vertex 80:  X:-1.09175	Y:1.81414	Z:0.24537
Vertex 81:  X:-1.08157	Y:1.80991	Z:0.244407
Vertex 82:  X:-1.08905	Y:1.8146	Z:0.311673
Vertex 83:  X:-1.07802	Y:1.80935	Z:0.309788
Vertex 84:  X:-1.07109	Y:1.80051	Z:0.307629
Vertex 85:  X:-1.07534	Y:1.80242	Z:0.243379
Vertex 86:  X:-1.07385	Y:1.79302	Z:0.242451
Vertex 87:  X:-1.07787	Y:1.78307	Z:0.241789
Vertex 88:  X:-1.06913	Y:1.78967	Z:0.305574
Vertex 89:  X:-1.07304	Y:1.77838	Z:0.304005
Vertex 90:  X:-1.06171	Y:1.76451	Z:0.437798
Vertex 91:  X:-1.06766	Y:1.77226	Z:0.36978
Vertex 92:  X:-1.06391	Y:1.78493	Z:0.372052
Vertex 93:  X:-1.0582	Y:1.77868	Z:0.440107
Vertex 94:  X:-1.06638	Y:1.79733	Z:0.374927
Vertex 95:  X:-1.06123	Y:1.79274	Z:0.443134
Vertex 96:  X:-1.08245	Y:1.81222	Z:0.448929
Vertex 97:  X:-1.06969	Y:1.80462	Z:0.446276
Vertex 98:  X:-1.07405	Y:1.80762	Z:0.377912
Vertex 99:  X:-1.08593	Y:1.81399	Z:0.380515
Vertex 100:  X:-1.14262	Y:1.79361	Z:0.246445
Vertex 101:  X:-1.13272	Y:1.80261	Z:0.246684
Vertex 102:  X:-1.14248	Y:1.79304	Z:0.312803
Vertex 103:  X:-1.13225	Y:1.80298	Z:0.313619
Vertex 104:  X:-1.11843	Y:1.8105	Z:0.313637
Vertex 105:  X:-1.11949	Y:1.80961	Z:0.246554
Vertex 106:  X:-1.10512	Y:1.81375	Z:0.246101
Vertex 107:  X:-1.10327	Y:1.81467	Z:0.313006
Vertex 108:  X:-1.10101	Y:1.8146	Z:0.382245
Vertex 109:  X:-1.09837	Y:1.81343	Z:0.450833
Vertex 110:  X:-1.11693	Y:1.81041	Z:0.383052
Vertex 111:  X:-1.11502	Y:1.80927	Z:0.451593
Vertex 112:  X:-1.14059	Y:1.78877	Z:0.450158
Vertex 113:  X:-1.12991	Y:1.80071	Z:0.4515
Vertex 114:  X:-1.13131	Y:1.80237	Z:0.382885
Vertex 115:  X:-1.1418	Y:1.79145	Z:0.381696
Vertex 116:  X:-1.13119	Y:1.76155	Z:0.242916
Vertex 117:  X:-1.14096	Y:1.76594	Z:0.24387
Vertex 118:  X:-1.12915	Y:1.75575	Z:0.305191
Vertex 119:  X:-1.13974	Y:1.76118	Z:0.307067
Vertex 120:  X:-1.14578	Y:1.77038	Z:0.309208
Vertex 121:  X:-1.14638	Y:1.77376	Z:0.244881
Vertex 122:  X:-1.14705	Y:1.78349	Z:0.245792
Vertex 123:  X:-1.14684	Y:1.78158	Z:0.311243
Vertex 124:  X:-1.14602	Y:1.77858	Z:0.379433
Vertex 125:  X:-1.14459	Y:1.7744	Z:0.44786
Vertex 126:  X:-1.14451	Y:1.76581	Z:0.376579
Vertex 127:  X:-1.14255	Y:1.75994	Z:0.444853
Vertex 128:  X:-1.12282	Y:1.73986	Z:0.43909
Vertex 129:  X:-1.13509	Y:1.74766	Z:0.441733
Vertex 130:  X:-1.13779	Y:1.75513	Z:0.373615
Vertex 131:  X:-1.12638	Y:1.74857	Z:0.371022
Vertex 132:  X:-1.08819	Y:1.7739	Z:0.241559
Vertex 133:  X:-1.08372	Y:1.76827	Z:0.303199
Vertex 134:  X:-1.09843	Y:1.76039	Z:0.3032
Vertex 135:  X:-1.10223	Y:1.76657	Z:0.241706
Vertex 136:  X:-1.11742	Y:1.76211	Z:0.242177
Vertex 137:  X:-1.11449	Y:1.75586	Z:0.303849
Vertex 138:  X:-1.11083	Y:1.74815	Z:0.369281
Vertex 139:  X:-1.10641	Y:1.73885	Z:0.437175
Vertex 140:  X:-1.09396	Y:1.75273	Z:0.368454
Vertex 141:  X:-1.08876	Y:1.74341	Z:0.436394
Vertex 142:  X:-1.07288	Y:1.75237	Z:0.436467
Vertex 143:  X:-1.07862	Y:1.76115	Z:0.3686
Vertex 144:  X:-1.0786	Y:1.80918	Z:0.514396
Vertex 145:  X:-1.06494	Y:1.80024	Z:0.512379
Vertex 146:  X:-1.07462	Y:1.80534	Z:0.576797
Vertex 147:  X:-1.06	Y:1.79488	Z:0.575997
Vertex 148:  X:-1.0498	Y:1.77939	Z:0.575179
Vertex 149:  X:-1.05564	Y:1.78664	Z:0.510109
Vertex 150:  X:-1.05196	Y:1.77078	Z:0.507957
Vertex 151:  X:-1.05515	Y:1.75504	Z:0.506297
Vertex 152:  X:-1.04539	Y:1.76156	Z:0.574483
Vertex 153:  X:-1.04816	Y:1.74408	Z:0.574051
Vertex 154:  X:-1.03352	Y:1.71897	Z:0.700955
Vertex 155:  X:-1.0409	Y:1.73199	Z:0.639446
Vertex 156:  X:-1.03865	Y:1.75134	Z:0.638563
Vertex 157:  X:-1.03191	Y:1.74044	Z:0.699075
Vertex 158:  X:-1.04388	Y:1.77135	Z:0.637672
Vertex 159:  X:-1.03809	Y:1.7629	Z:0.696915
Vertex 160:  X:-1.06697	Y:1.79701	Z:0.693389
Vertex 161:  X:-1.05033	Y:1.78291	Z:0.694882
Vertex 162:  X:-1.05507	Y:1.78896	Z:0.636906
Vertex 163:  X:-1.07066	Y:1.80111	Z:0.636401
Vertex 164:  X:-1.13887	Y:1.78486	Z:0.51567
Vertex 165:  X:-1.12806	Y:1.79789	Z:0.516478
Vertex 166:  X:-1.1368	Y:1.78025	Z:0.578112
Vertex 167:  X:-1.12596	Y:1.79441	Z:0.578195
Vertex 168:  X:-1.11024	Y:1.80404	Z:0.577951
Vertex 169:  X:-1.11272	Y:1.80697	Z:0.516499
Vertex 170:  X:-1.09538	Y:1.81108	Z:0.515787
Vertex 171:  X:-1.09223	Y:1.80802	Z:0.577481
Vertex 172:  X:-1.08912	Y:1.80472	Z:0.63629
Vertex 173:  X:-1.08624	Y:1.80168	Z:0.692587
Vertex 174:  X:-1.10773	Y:1.8009	Z:0.636516
Vertex 175:  X:-1.10542	Y:1.79813	Z:0.692674
Vertex 176:  X:-1.13228	Y:1.77066	Z:0.69477
Vertex 177:  X:-1.12169	Y:1.78738	Z:0.693336
Vertex 178:  X:-1.12378	Y:1.79074	Z:0.637023
Vertex 179:  X:-1.13455	Y:1.77533	Z:0.637752
Vertex 180:  X:-1.11847	Y:1.7295	Z:0.507636
Vertex 181:  X:-1.13163	Y:1.73864	Z:0.509642
Vertex 182:  X:-1.11343	Y:1.71775	Z:0.575431
Vertex 183:  X:-1.12754	Y:1.72842	Z:0.57622
Vertex 184:  X:-1.1367	Y:1.74432	Z:0.577016
Vertex 185:  X:-1.1399	Y:1.75264	Z:0.51189
Vertex 186:  X:-1.14256	Y:1.76891	Z:0.51402
Vertex 187:  X:-1.14009	Y:1.76257	Z:0.57769
Vertex 188:  X:-1.13732	Y:1.75578	Z:0.638645
Vertex 189:  X:-1.13441	Y:1.74898	Z:0.69666
Vertex 190:  X:-1.13312	Y:1.73535	Z:0.639558
Vertex 191:  X:-1.12927	Y:1.72611	Z:0.698843
Vertex 192:  X:-1.10194	Y:1.69137	Z:0.702402
Vertex 193:  X:-1.11806	Y:1.70568	Z:0.700897
Vertex 194:  X:-1.12297	Y:1.71732	Z:0.640346
Vertex 195:  X:-1.10789	Y:1.70496	Z:0.640862
Vertex 196:  X:-1.06646	Y:1.74181	Z:0.505499
Vertex 197:  X:-1.05951	Y:1.72972	Z:0.573979
Vertex 198:  X:-1.07627	Y:1.71967	Z:0.574244
Vertex 199:  X:-1.08283	Y:1.73232	Z:0.5055
Vertex 200:  X:-1.10119	Y:1.7278	Z:0.506234
Vertex 201:  X:-1.09531	Y:1.71528	Z:0.574736
Vertex 202:  X:-1.08892	Y:1.70156	Z:0.640962
Vertex 203:  X:-1.08215	Y:1.68691	Z:0.703192
Vertex 204:  X:-1.06927	Y:1.7058	Z:0.640714
Vertex 205:  X:-1.06193	Y:1.69088	Z:0.703083
Vertex 206:  X:-1.04463	Y:1.70205	Z:0.702399
Vertex 207:  X:-1.05219	Y:1.71638	Z:0.640185
Vertex 208:  X:-1.06369	Y:1.79341	Z:0.747729
Vertex 209:  X:-1.04598	Y:1.77712	Z:0.749702
Vertex 210:  X:-1.06069	Y:1.79016	Z:0.800849
Vertex 211:  X:-1.04198	Y:1.77176	Z:0.802913
Vertex 212:  X:-1.02746	Y:1.74643	Z:0.80556
Vertex 213:  X:-1.03257	Y:1.75441	Z:0.752235
Vertex 214:  X:-1.02534	Y:1.7292	Z:0.754899
Vertex 215:  X:-1.02619	Y:1.70543	Z:0.757264
Vertex 216:  X:-1.0192	Y:1.71856	Z:0.808339
Vertex 217:  X:-1.01931	Y:1.69256	Z:0.810801
Vertex 218:  X:-1.00844	Y:1.6739	Z:0.920308
Vertex 219:  X:-1.01323	Y:1.68156	Z:0.864256
Vertex 220:  X:-1.01375	Y:1.70945	Z:0.861702
Vertex 221:  X:-1.00924	Y:1.70282	Z:0.917292
Vertex 222:  X:-1.02283	Y:1.7395	Z:0.858815
Vertex 223:  X:-1.0188	Y:1.7342	Z:0.913929
Vertex 224:  X:-1.05489	Y:1.78411	Z:0.908095
Vertex 225:  X:-1.0348	Y:1.76298	Z:0.910702
Vertex 226:  X:-1.03827	Y:1.76699	Z:0.856064
Vertex 227:  X:-1.05784	Y:1.78719	Z:0.853913
Vertex 228:  X:-1.13017	Y:1.76659	Z:0.749135
Vertex 229:  X:-1.11987	Y:1.7848	Z:0.747509
Vertex 230:  X:-1.12814	Y:1.76295	Z:0.802275
Vertex 231:  X:-1.11817	Y:1.78262	Z:0.800586
Vertex 232:  X:-1.10167	Y:1.79443	Z:0.799746
Vertex 233:  X:-1.10347	Y:1.79611	Z:0.746693
Vertex 234:  X:-1.0838	Y:1.79936	Z:0.746746
Vertex 235:  X:-1.08157	Y:1.79738	Z:0.799812
Vertex 236:  X:-1.07935	Y:1.79538	Z:0.852829
Vertex 237:  X:-1.07693	Y:1.79296	Z:0.90684
Vertex 238:  X:-1.09986	Y:1.79272	Z:0.852749
Vertex 239:  X:-1.09775	Y:1.79031	Z:0.906624
Vertex 240:  X:-1.12422	Y:1.75614	Z:0.909561
Vertex 241:  X:-1.11455	Y:1.77778	Z:0.907635
Vertex 242:  X:-1.11645	Y:1.78041	Z:0.853613
Vertex 243:  X:-1.1262	Y:1.75961	Z:0.855358
Vertex 244:  X:-1.09577	Y:1.67735	Z:0.758735
Vertex 245:  X:-1.11296	Y:1.69385	Z:0.756751
Vertex 246:  X:-1.08984	Y:1.66411	Z:0.812293
Vertex 247:  X:-1.10804	Y:1.68271	Z:0.810217
Vertex 248:  X:-1.12154	Y:1.70847	Z:0.807549
Vertex 249:  X:-1.12534	Y:1.71698	Z:0.754197
Vertex 250:  X:-1.13153	Y:1.7426	Z:0.751511
Vertex 251:  X:-1.12876	Y:1.73675	Z:0.804748
Vertex 252:  X:-1.12619	Y:1.73152	Z:0.857923
Vertex 253:  X:-1.12392	Y:1.72702	Z:0.912587
Vertex 254:  X:-1.11813	Y:1.70105	Z:0.860831
Vertex 255:  X:-1.11535	Y:1.69524	Z:0.915971
Vertex 256:  X:-1.08073	Y:1.64473	Z:0.921837
Vertex 257:  X:-1.10033	Y:1.66606	Z:0.919219
Vertex 258:  X:-1.10371	Y:1.67315	Z:0.863604
Vertex 259:  X:-1.08464	Y:1.65275	Z:0.865766
Vertex 260:  X:-1.037	Y:1.687	Z:0.758901
Vertex 261:  X:-1.02979	Y:1.67269	Z:0.812501
Vertex 262:  X:-1.04733	Y:1.66046	Z:0.813363
Vertex 263:  X:-1.05444	Y:1.67528	Z:0.759739
Vertex 264:  X:-1.07514	Y:1.67161	Z:0.759707
Vertex 265:  X:-1.06846	Y:1.65709	Z:0.813318
Vertex 266:  X:-1.06263	Y:1.64477	Z:0.866839
Vertex 267:  X:-1.05821	Y:1.63608	Z:0.923082
Vertex 268:  X:-1.0411	Y:1.64784	Z:0.866897
Vertex 269:  X:-1.0364	Y:1.63913	Z:0.923276
Vertex 270:  X:-1.0186	Y:1.65206	Z:0.922244
Vertex 271:  X:-1.02349	Y:1.66056	Z:0.866012
Vertex 272:  X:-1.10506	Y:1.78948	Z:0.0237227
Vertex 273:  X:-1.11454	Y:1.78544	Z:0.0194758
Vertex 274:  X:-1.11593	Y:1.78858	Z:0.0137798
Vertex 275:  X:-1.10585	Y:1.79273	Z:0.0180991
Vertex 276:  X:-1.10774	Y:1.7957	Z:0.0215635
Vertex 277:  X:-1.1172	Y:1.79192	Z:0.0171464
Vertex 278:  X:-1.12647	Y:1.78814	Z:0.0219597
Vertex 279:  X:-1.1259	Y:1.78464	Z:0.018523
Vertex 280:  X:-1.12401	Y:1.78183	Z:0.0241233
Vertex 281:  X:-1.00055	Y:1.6737	Z:1.15428
Vertex 282:  X:-1.01259	Y:1.65336	Z:1.15864
Vertex 283:  X:-1.01314	Y:1.65083	Z:1.10659
Vertex 284:  X:-1.00177	Y:1.6718	Z:1.1026
Vertex 285:  X:-1.03189	Y:1.64039	Z:1.16028
Vertex 286:  X:-1.03194	Y:1.63779	Z:1.10824
Vertex 287:  X:-1.03235	Y:1.63565	Z:1.04833
Vertex 288:  X:-1.01397	Y:1.64874	Z:1.04692
Vertex 289:  X:-1.00317	Y:1.67031	Z:1.04354
Vertex 290:  X:-1.0052	Y:1.67048	Z:0.981394
Vertex 291:  X:-1.0156	Y:1.64864	Z:0.98401
Vertex 292:  X:-1.03362	Y:1.63548	Z:0.985189
Vertex 293:  X:-1.05574	Y:1.63244	Z:0.984858
Vertex 294:  X:-1.07847	Y:1.64092	Z:0.982943
Vertex 295:  X:-1.0547	Y:1.63231	Z:1.04778
Vertex 296:  X:-1.07756	Y:1.6403	Z:1.04511
Vertex 297:  X:-1.07776	Y:1.64255	Z:1.15591
Vertex 298:  X:-1.07745	Y:1.64126	Z:1.1042
Vertex 299:  X:-1.05458	Y:1.63412	Z:1.10747
Vertex 300:  X:-1.05484	Y:1.63632	Z:1.15953
Vertex 301:  X:-1.097	Y:1.66063	Z:1.14975
Vertex 302:  X:-1.09697	Y:1.66068	Z:1.09837
Vertex 303:  X:-1.11096	Y:1.68599	Z:1.14205
Vertex 304:  X:-1.11143	Y:1.6876	Z:1.09117
Vertex 305:  X:-1.11219	Y:1.68921	Z:1.03438
Vertex 306:  X:-1.09729	Y:1.66089	Z:1.04033
Vertex 307:  X:-1.0983	Y:1.66233	Z:0.979371
Vertex 308:  X:-1.11343	Y:1.69153	Z:0.974899
Vertex 309:  X:-1.12202	Y:1.72336	Z:0.970291
Vertex 310:  X:-1.12226	Y:1.75267	Z:0.966303
Vertex 311:  X:-1.12044	Y:1.72021	Z:1.02829
Vertex 312:  X:-1.12026	Y:1.74883	Z:1.02308
Vertex 313:  X:-1.11653	Y:1.74059	Z:1.12759
Vertex 314:  X:-1.11834	Y:1.74485	Z:1.07757
Vertex 315:  X:-1.11912	Y:1.71724	Z:1.08384
Vertex 316:  X:-1.118	Y:1.71415	Z:1.13419
Vertex 317:  X:-1.10489	Y:1.76076	Z:1.12324
Vertex 318:  X:-1.10738	Y:1.76564	Z:1.07359
Vertex 319:  X:-1.08638	Y:1.77341	Z:1.12162
Vertex 320:  X:-1.08942	Y:1.77835	Z:1.07196
Vertex 321:  X:-1.09242	Y:1.78295	Z:1.01832
Vertex 322:  X:-1.1099	Y:1.77023	Z:1.01971
Vertex 323:  X:-1.11233	Y:1.77433	Z:0.963698
Vertex 324:  X:-1.09527	Y:1.7871	Z:0.962539
Vertex 325:  X:-1.07409	Y:1.78976	Z:0.96289
Vertex 326:  X:-1.05184	Y:1.78109	Z:0.964814
Vertex 327:  X:-1.07096	Y:1.78594	Z:1.01889
Vertex 328:  X:-1.04855	Y:1.77777	Z:1.02157
Vertex 329:  X:-1.04171	Y:1.77078	Z:1.12601
Vertex 330:  X:-1.04518	Y:1.77437	Z:1.07602
Vertex 331:  X:-1.06763	Y:1.78168	Z:1.07275
Vertex 332:  X:-1.06423	Y:1.77717	Z:1.12238
Vertex 333:  X:-1.02207	Y:1.75285	Z:1.13216
Vertex 334:  X:-1.02524	Y:1.75512	Z:1.08185
Vertex 335:  X:-1.00731	Y:1.72781	Z:1.13985
Vertex 336:  X:-1.00994	Y:1.72854	Z:1.08903
Vertex 337:  X:-1.01258	Y:1.7294	Z:1.03227
Vertex 338:  X:-1.02837	Y:1.75735	Z:1.02634
Vertex 339:  X:-1.03153	Y:1.75987	Z:0.968377
Vertex 340:  X:-1.01546	Y:1.73105	Z:0.972828
Vertex 341:  X:-1.00592	Y:1.69961	Z:0.977417
Vertex 342:  X:-1.00343	Y:1.69876	Z:1.03835
Vertex 343:  X:-1.00141	Y:1.69923	Z:1.09635
Vertex 344:  X:-0.99948	Y:1.69998	Z:1.14769
Vertex 345:  X:-0.991094	Y:1.66316	Z:1.28972
Vertex 346:  X:-1.00453	Y:1.64366	Z:1.28944
Vertex 347:  X:-1.00804	Y:1.65081	Z:1.2598
Vertex 348:  X:-0.994497	Y:1.67026	Z:1.25823
Vertex 349:  X:-1.02504	Y:1.63058	Z:1.28959
Vertex 350:  X:-1.02867	Y:1.63783	Z:1.26066
Vertex 351:  X:-1.0307	Y:1.64123	Z:1.23222
Vertex 352:  X:-1.01035	Y:1.65423	Z:1.23097
Vertex 353:  X:-0.997098	Y:1.67373	Z:1.22788
Vertex 354:  X:-0.999067	Y:1.67465	Z:1.19476
Vertex 355:  X:-1.01176	Y:1.65479	Z:1.19867
Vertex 356:  X:-1.03164	Y:1.64185	Z:1.20031
Vertex 357:  X:-1.05497	Y:1.63735	Z:1.19959
Vertex 358:  X:-1.07802	Y:1.64279	Z:1.19643
Vertex 359:  X:-1.05439	Y:1.63646	Z:1.2319
Vertex 360:  X:-1.07756	Y:1.64126	Z:1.22958
Vertex 361:  X:-1.07205	Y:1.6305	Z:1.29144
Vertex 362:  X:-1.07584	Y:1.63744	Z:1.25995
Vertex 363:  X:-1.05255	Y:1.63286	Z:1.26074
Vertex 364:  X:-1.04887	Y:1.62577	Z:1.29038
Vertex 365:  X:-1.09098	Y:1.64655	Z:1.29298
Vertex 366:  X:-1.09471	Y:1.65312	Z:1.25822
Vertex 367:  X:-1.10399	Y:1.66963	Z:1.29454
Vertex 368:  X:-1.10772	Y:1.67583	Z:1.25594
Vertex 369:  X:-1.10969	Y:1.68043	Z:1.22037
Vertex 370:  X:-1.09652	Y:1.65734	Z:1.22553
Vertex 371:  X:-1.09707	Y:1.65968	Z:1.19076
Vertex 372:  X:-1.11058	Y:1.68371	Z:1.18376
Vertex 373:  X:-1.11702	Y:1.71059	Z:1.1766
Vertex 374:  X:-1.11486	Y:1.73603	Z:1.17048
Vertex 375:  X:-1.11568	Y:1.70642	Z:1.21505
Vertex 376:  X:-1.11296	Y:1.73124	Z:1.21055
Vertex 377:  X:-1.10688	Y:1.72048	Z:1.29703
Vertex 378:  X:-1.11044	Y:1.72599	Z:1.25131
Vertex 379:  X:-1.11344	Y:1.70148	Z:1.25351
Vertex 380:  X:-1.10981	Y:1.69561	Z:1.29595
Vertex 381:  X:-1.09384	Y:1.73983	Z:1.29732
Vertex 382:  X:-1.09727	Y:1.74528	Z:1.24976
Vertex 383:  X:-1.0741	Y:1.75259	Z:1.29719
Vertex 384:  X:-1.07739	Y:1.75796	Z:1.24891
Vertex 385:  X:-1.08049	Y:1.76328	Z:1.20623
Vertex 386:  X:-1.10008	Y:1.75059	Z:1.20746
Vertex 387:  X:-1.10254	Y:1.75574	Z:1.16658
Vertex 388:  X:-1.08343	Y:1.76837	Z:1.16496
Vertex 389:  X:-1.06087	Y:1.77256	Z:1.1657
Vertex 390:  X:-1.03819	Y:1.76697	Z:1.16886
Vertex 391:  X:-1.05754	Y:1.76775	Z:1.20657
Vertex 392:  X:-1.03475	Y:1.7628	Z:1.20889
Vertex 393:  X:-1.02826	Y:1.75221	Z:1.29536
Vertex 394:  X:-1.03135	Y:1.7579	Z:1.24964
Vertex 395:  X:-1.05427	Y:1.76263	Z:1.24885
Vertex 396:  X:-1.05105	Y:1.75709	Z:1.29642
Vertex 397:  X:-1.00894	Y:1.73631	Z:1.29381
Vertex 398:  X:-1.01211	Y:1.74237	Z:1.25136
Vertex 399:  X:-0.995154	Y:1.71354	Z:1.29224
Vertex 400:  X:-0.998342	Y:1.71996	Z:1.25363
Vertex 401:  X:-1.00149	Y:1.72408	Z:1.21808
Vertex 402:  X:-1.01541	Y:1.74687	Z:1.21293
Vertex 403:  X:-1.01876	Y:1.75024	Z:1.17453
Vertex 404:  X:-1.00448	Y:1.72652	Z:1.18151
Vertex 405:  X:-0.99728	Y:1.69994	Z:1.18865
Vertex 406:  X:-0.994759	Y:1.69839	Z:1.22338
Vertex 407:  X:-0.991867	Y:1.69462	Z:1.25605
Vertex 408:  X:-0.988557	Y:1.68788	Z:1.29081
Vertex 409:  X:-0.970187	Y:1.60265	Z:1.423
Vertex 410:  X:-0.9818	Y:1.58545	Z:1.40996
Vertex 411:  X:-0.98664	Y:1.6008	Z:1.39202
Vertex 412:  X:-0.97492	Y:1.62074	Z:1.40081
Vertex 413:  X:-0.999628	Y:1.57407	Z:1.40603
Vertex 414:  X:-1.00507	Y:1.58758	Z:1.38972
Vertex 415:  X:-1.01252	Y:1.60402	Z:1.35832
Vertex 416:  X:-0.993391	Y:1.6171	Z:1.35976
Vertex 417:  X:-0.981474	Y:1.6378	Z:1.36506
Vertex 418:  X:-0.986698	Y:1.65193	Z:1.32688
Vertex 419:  X:-0.9995	Y:1.63191	Z:1.32416
Vertex 420:  X:-1.01944	Y:1.61891	Z:1.32359
Vertex 421:  X:-1.04279	Y:1.61444	Z:1.32508
Vertex 422:  X:-1.06578	Y:1.62002	Z:1.32856
Vertex 423:  X:-1.0353	Y:1.60019	Z:1.36065
Vertex 424:  X:-1.05804	Y:1.60691	Z:1.36668
Vertex 425:  X:-1.04002	Y:1.57448	Z:1.42447
Vertex 426:  X:-1.04936	Y:1.5907	Z:1.40238
Vertex 427:  X:-1.02742	Y:1.58434	Z:1.39289
Vertex 428:  X:-1.0202	Y:1.56995	Z:1.41078
Vertex 429:  X:-1.05559	Y:1.58444	Z:1.44861
